seniorcitizen,tenure,monthlycharges,avg_monthly_spend,partner_Yes,dependents_Yes,multiplelines_No phone service,multiplelines_Yes,internetservice_Fiber optic,internetservice_No,onlinesecurity_No internet service,onlinesecurity_Yes,onlinebackup_No internet service,onlinebackup_Yes,deviceprotection_No internet service,deviceprotection_Yes,techsupport_No internet service,techsupport_Yes,streamingtv_No internet service,streamingtv_Yes,streamingmovies_No internet service,streamingmovies_Yes,contract_One year,contract_Two year,paperlessbilling_Yes,paymentmethod_Credit card (automatic),paymentmethod_Electronic check,paymentmethod_Mailed check
0,-1.2367242199587352,0.641065032145158,0.0749344148882853,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
0,-0.9924020376385531,-0.021991970921125294,-0.058191206213210195,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
0,-0.7888002190384014,-0.8046983579993692,-0.6410358473726102,True,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True
0,-1.2774445836787656,-1.3547531650543558,-1.3503171802325453,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
0,-1.1960038562387048,-1.5109620830699715,-1.54134451004537,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
1,0.025607055362205634,0.9568064621767214,0.9218339549820056,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False
1,-1.1145631287986442,-0.1615829189350795,-0.2382731117094474,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0,0.3106496014024181,-0.27126152094604356,-0.17508502530170836,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,1.3286586944031769,-0.16490651293541178,-0.2045609075286072,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,False,False
0,-0.7073594915983407,0.0278619390838584,0.08514830391006893,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False
0,-0.4223169455581282,1.003336778181373,1.0811405090613293,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False
0,-1.1145631287986442,-0.5105602889699654,-0.6046480714313855,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,-0.9516816739185228,0.11593718009266311,-0.021775471254912866,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
0,-0.30015585439803716,1.1479131171958254,1.1851565464507403,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
0,-1.2774445836787656,-1.517609271070636,-1.5126352003625179,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
