customerid,churn_probability,actual_churn,tenure,contract,internetservice,monthlycharges,paymentmethod,risk_tier,intervention
5178-LMXOP,0.9450704231630247,1,1,Month-to-month,Fiber optic,95.1,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9497-QCMMS,0.9441044616926625,1,1,Month-to-month,Fiber optic,93.55,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7216-EWTRS,0.9440426787636111,1,1,Month-to-month,Fiber optic,100.8,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9300-AGZNL,0.943805782388395,1,1,Month-to-month,Fiber optic,94.0,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4424-TKOPW,0.942734427851295,1,2,Month-to-month,Fiber optic,93.85,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5567-WSELE,0.9418532982219779,1,3,Month-to-month,Fiber optic,94.6,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5150-ITWWB,0.9418101868318299,0,3,Month-to-month,Fiber optic,94.85,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2720-WGKHP,0.9417222085012368,1,2,Month-to-month,Fiber optic,94.0,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7024-OHCCK,0.9411928038859034,1,2,Month-to-month,Fiber optic,93.85,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1374-DMZUI,0.9397886548369935,1,4,Month-to-month,Fiber optic,94.3,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8098-LLAZX,0.937930869545403,1,4,Month-to-month,Fiber optic,95.45,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1400-MMYXY,0.9362865608671033,1,3,Month-to-month,Fiber optic,105.9,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8149-RSOUN,0.9344030910797386,1,1,Month-to-month,Fiber optic,93.85,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4910-GMJOT,0.933823981395406,1,1,Month-to-month,Fiber optic,94.6,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
6861-XWTWQ,0.9337249247303078,1,7,Month-to-month,Fiber optic,99.25,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0295-PPHDO,0.9331619164057955,1,1,Month-to-month,Fiber optic,95.45,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
6496-SLWHQ,0.9329988784407398,1,3,Month-to-month,Fiber optic,105.0,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3049-SOLAY,0.93208021508776,1,3,Month-to-month,Fiber optic,95.2,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8884-ADFVN,0.9319240208074558,1,7,Month-to-month,Fiber optic,101.95,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7851-WZEKY,0.9318523931937093,1,2,Month-to-month,Fiber optic,95.15,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5419-JPRRN,0.9316882503935431,1,1,Month-to-month,Fiber optic,101.45,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3158-MOERK,0.9294924977191907,1,2,Month-to-month,Fiber optic,96.0,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2446-BEGGB,0.9292778370719028,1,6,Month-to-month,Fiber optic,98.25,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
